URL,ID,Website,Images_IA
https://www.prlib.ru/item/399388,Bolshojistoricheskijmifologicheskijst54,48,48
https://www.prlib.ru/item/1288004,Bugerovonovoesochinenieonavigatsiisoderz60_,584,584
https://www.prlib.ru/item/399578,Buharav1835godu98,29,29
https://www.prlib.ru/item/1307196,BytieserdtsamoegoiliStihotvorenijaknjaz78,212,212
https://www.prlib.ru/item/1307190,BytieserdtsamoegoiliStihotvorenijaknjaz96,280,280
https://www.prlib.ru/item/322302,BytrusskogonarodaCh7ISvjatkiIIMasl90,356,356
https://www.prlib.ru/item/715236,Chetyrevremenigoda41,33,33
https://www.prlib.ru/item/389777,Chindejstvijakakimobrazomsovershilossv29,54,54
https://www.prlib.ru/item/391003,ChtenijaorusskomjazykeNikolajaGrechaCh98,354,354
https://www.prlib.ru/item/744651,Chuvashskiesvadby49,46,46
https://www.prlib.ru/item/462901,Chuvstvovanijavernopoddannogopripogreben77,11,11
https://www.prlib.ru/item/1501466,CostumeoftheRussianEmpireillustratedbyu20,308,308
https://www.prlib.ru/item/960887,DanvelichijuRossiiliricheskiepesninapo0,112,112
https://www.prlib.ru/item/407506,DejanijaPetraVelikagomudragopreobrazite2,527,527
https://www.prlib.ru/item/407503,DejanijaPetraVelikagomudragopreobrazite25,396,396
https://www.prlib.ru/item/407509,DejanijaPetraVelikagomudragopreobrazite27,427,427
https://www.prlib.ru/item/407504,DejanijaPetraVelikagomudragopreobrazite36,512,512
https://www.prlib.ru/item/407512,DejanijaPetraVelikagomudragopreobrazite4,478,478
https://www.prlib.ru/item/407513,DejanijaPetraVelikagomudragopreobrazite40,459,459
https://www.prlib.ru/item/407507,DejanijaPetraVelikagomudragopreobrazite56,484,484
https://www.prlib.ru/item/407508,DejanijaPetraVelikagomudragopreobrazite61,417,417
https://www.prlib.ru/item/407514,DejanijaPetraVelikagomudragopreobrazite65,512,512
https://www.prlib.ru/item/407511,DejanijaPetraVelikagomudragopreobrazite80,447,447
https://www.prlib.ru/item/407505,DejanijaPetraVelikagomudragopreobrazite82,542,542
https://www.prlib.ru/item/699109,DejanijagrafaMihailaAndreevichaMiloradov0,250,250
https://www.prlib.ru/item/712850,Dejanijaznamenityhpolkovodtseviministrov6,361,361
https://www.prlib.ru/item/407340,DejstvijaSuvorovavTurtsiiv1773godu68,103,103
https://www.prlib.ru/item/1090968,Dejstvijaprezelnojiotnachalapoljakovkrv49,438,438
https://www.prlib.ru/item/714296,DiplomnaknjazheskoeSvjaschennyjaRimskija20,19,19
https://www.prlib.ru/item/955399,DnevnikkamerjunkeraBerhgoltsavedennyj11,284,284
https://www.prlib.ru/item/706106,Dnibogosluzhenijapravoslavnojgrekorossi83,397,397
https://www.prlib.ru/item/1327140,DobrodetelnajazhenailiRasputnyjljubov20,246,246
https://www.prlib.ru/item/1327138,DobrodetelnajazhenailiRasputnyjljubov73,162,162
https://www.prlib.ru/item/714898,DokladySimbirskojuezdnojzemskojupravy16,18,18
https://www.prlib.ru/item/715151,DokladyTulskojgubernskojzemskojupravy26,250,250
https://www.prlib.ru/item/331579,DonesenieSledstvennojkomissiidljaizyska75,104,104
https://www.prlib.ru/item/687365,Dopolnitelnyjaktmezhduihvelichestvamii31,50,50
https://www.prlib.ru/item/408068,DostopamjatnyjbraktsarjaIoannaVasilevic96,68,68
https://www.prlib.ru/item/408069,DostoprimechatelnostiPoltavy14,139,139
https://www.prlib.ru/item/1317305,DramaticheskiesochinenijaiperevodyNAPo2,572,572
https://www.prlib.ru/item/1317299,DramaticheskiesochinenijaiperevodyNAPo92,446,446
https://www.prlib.ru/item/408082,Drevnejsheerusskoepravovistoricheskomego51,448,448
https://www.prlib.ru/item/331656,DrevniegramotyiaktyRjazanskogokraja26,200,200
https://www.prlib.ru/item/408092,Drevnieinyneshniebolgarevpoliticheskomn17,287,287
https://www.prlib.ru/item/408097,DrevnijBogoljubov30,184,184
https://www.prlib.ru/item/331660,Drevnijagosudarstvennyjagramotynakaznyj23,136,136
https://www.prlib.ru/item/848876,Drevnijarossijskijastihotvorenija76,476,476
https://www.prlib.ru/item/408110,DrevnjajaistorijaVolynskojguberniisluzh26,45,45
https://www.prlib.ru/item/408112,Drevnjajarossijskajaistorijaotnachalaros23,146,146
https://www.prlib.ru/item/1346675,DrevnostiRossijskagogosudarstvaizdannyj0,148,148
https://www.prlib.ru/item/1346680,DrevnostiRossijskagogosudarstvaizdannyj12,206,206
https://www.prlib.ru/item/1346703,DrevnostiRossijskagogosudarstvaizdannyj13,98,98
https://www.prlib.ru/item/408104,DrevnostiRossijskagogosudarstvaizdannyj20,15,15
https://www.prlib.ru/item/1346673,DrevnostiRossijskagogosudarstvaizdannyj42,78,78
https://www.prlib.ru/item/1346705,DrevnostiRossijskagogosudarstvaizdannyj43,144,144
https://www.prlib.ru/item/1346699,DrevnostiRossijskagogosudarstvaizdannyj44,190,190
https://www.prlib.ru/item/1346677,DrevnostiRossijskagogosudarstvaizdannyj5,82,82
https://www.prlib.ru/item/1346701,DrevnostiRossijskagogosudarstvaizdannyj64,148,148
https://www.prlib.ru/item/408103,DrevnostiRossijskagogosudarstvaizdannyj67,300,300
https://www.prlib.ru/item/1346710,DrevnostiRossijskagogosudarstvaizdannyj77,124,124
https://www.prlib.ru/item/1326843,DuhKaramzinailiIzbrannyjamysliichuvstvo81,306,306
https://www.prlib.ru/item/962286,DuhNapoleonaBonoparteiliZhizniuzhasnyj74,178,178
https://www.prlib.ru/item/711110,Duhmudrovanijanekotoryhraskolnicheskiht73,127,127
https://www.prlib.ru/item/408152,DuhovnyemysliiliRazsuzhdenijaospasitel4,183,183
https://www.prlib.ru/item/331677,DuhvelikagoSuvorovailiAnekdotypodlinnyj15,234,234
https://www.prlib.ru/item/331680,Duhventsenosnyhsuprugovvbozepochivajusc70,136,136
https://www.prlib.ru/item/1709160,Duhvseobschejistoriiotosmagodoosmnadts23,296,296
https://www.prlib.ru/item/1708952,Duhvseobschejistoriiotosmagodoosmnadts71,268,268
https://www.prlib.ru/item/1709159,Duhvseobschejistoriiotosmagodoosmnadts78,264,264
https://www.prlib.ru/item/408166,DushaiAngelneteloaduh89,196,196
https://www.prlib.ru/item/407280,DvezapiskiBalugjanskogooburavneniishtat27,36,36
https://www.prlib.ru/item/407279,DvezhalovannyegramotyimperatritsyElisave27,54,54
https://www.prlib.ru/item/407316,Dvortsovyerazrjadypovysochajshemupovele9,252,252
https://www.prlib.ru/item/408204,Egoimperatorskomuvelichestvuotglavnoupra37,9,9
https://www.prlib.ru/item/711085,Egoimperatorskomuvelichestvuvsemilostiv24,8,8
https://www.prlib.ru/item/1843161,EkaterinaRomanovnaDashkova75,66,66
https://www.prlib.ru/item/713533,EkspeditsijafrantsuzovvEgipet11,224,224
https://www.prlib.ru/item/903563,Ekzertsitsijaiuchrezhdeniestroevivsjakih95_,224,224
https://www.prlib.ru/item/1736439,ElementargrammatikdergriechischenSprache26,343,343
https://www.prlib.ru/item/391435,Emvlemyisimvolyizbrannyenarossijskijla2,360,360
https://www.prlib.ru/item/408271,Ermak79,173,173
https://www.prlib.ru/item/408273,ErmakpokoritelSibiri15811584g70,29,29
https://www.prlib.ru/item/1089935,Etjudypostrategii.Vyp.14_,374,374
https://www.prlib.ru/item/1599870,Evangelieuchitelnoe82_,782,782
https://www.prlib.ru/item/711108,EvrejskiereligioznyesektyvRossii12,221,221
https://www.prlib.ru/item/408195,EvropaiRossijavpredsmertnyeminutyzhiznii74,22,22
https://www.prlib.ru/item/887777,EzhednevnyenabljudenijaMesjachnyeigodov30,28,28
https://www.prlib.ru/item/887774,EzhednevnyenabljudenijaMesjachnyeigodov81,48,48
https://www.prlib.ru/item/887768,EzhednevnyenabljudenijaMesjachnyeigodov9,28,28
https://www.prlib.ru/item/389070,FilosofgoryAlaunskojiliMyslinaDonuovstu67,40,40
https://www.prlib.ru/item/1327535,FiziologijaPeterburgasostavlennajaiztru72,286,286
https://www.prlib.ru/item/395086,GeneralKartedesRussischenReicheDieneuen48,1,1
https://www.prlib.ru/item/394430,Generalnoeuchrezhdenieovospitaniioboeg53,4,4
https://www.prlib.ru/item/406170,Generalnyesignalynadziraemyevoflotevov64,29,29
https://www.prlib.ru/item/713546,Generalnyjotchetomilitsiisostavljavshej56,95,95
https://www.prlib.ru/item/406190,GeograficheskieocherkiRossiiVyp21O21,113,113
https://www.prlib.ru/item/1892358,GeograficheskijslovarRossijskagogosudar14,695,695
https://www.prlib.ru/item/1892357,GeograficheskijslovarRossijskagogosudar16,631,631
https://www.prlib.ru/item/1892354,GeograficheskijslovarRossijskagogosudar30,673,673
https://www.prlib.ru/item/1892360,GeograficheskijslovarRossijskagogosudar41,413,413
https://www.prlib.ru/item/406199,GeograficheskijslovarRossijskagogosudar43,652,652
https://www.prlib.ru/item/1892361,GeograficheskijslovarRossijskagogosudar75,227,227
https://www.prlib.ru/item/1892355,GeograficheskijslovarRossijskagogosudar89,453,453
https://www.prlib.ru/item/406200,GeograficheskijslovarRusskojzemli17,232,232
https://www.prlib.ru/item/406202,GeograficheskoemetodicheskoeopisanieRoss6,545,545
https://www.prlib.ru/item/406371,GimnnavosshestvieGosudarjaImperatoraNiko72,20,20
https://www.prlib.ru/item/406390,Glassetujuschejblagodarnostikotorymbezs74,32,32
https://www.prlib.ru/item/406897,GorodskieposelenijavRossijskojimperiiT32,496,496
https://www.prlib.ru/item/407050,GosudarimperatorAleksandrInaValaamevav62,42,42
https://www.prlib.ru/item/407084,GrafAleksandrSergeevichStroganov6,27,27
https://www.prlib.ru/item/330318,GrafPlatoviliPodvigidonskihvoinov61,36,36
https://www.prlib.ru/item/407105,GrafinjaRoslavlevailiSuprugageroinjao82,189,189
https://www.prlib.ru/item/467684,GrecheskieklassikiGrecheskieklassiki73,10,10
https://www.prlib.ru/item/407111,GrobnitsaNikolajaI61,20,20
https://www.prlib.ru/item/962288,HarakterNapoleonoviliDuhisvojstvaNapole72,186,186
https://www.prlib.ru/item/713684,HauptzugeausdemLebenunsersunvergessliche6,23,23
https://www.prlib.ru/item/389327,HerronesSevastopol5,76,76
https://www.prlib.ru/item/316216,HourrasurlepamphletpubliparMrRJDurde72,27,27
https://www.prlib.ru/item/389339,HozjajstvennajadejatelnostSolovetskogo92,37,37
https://www.prlib.ru/item/715082,HramSlavyrossijskihiroevotvremenGostomy71,236,236
https://www.prlib.ru/item/712942,Hramslavyvozdvignutyjpobedonosnymrossij80,195,195
https://www.prlib.ru/item/713781,Hronikarossijskojimperatorskojarmii59,288,288
https://www.prlib.ru/item/460801,Hronologicheskajaistorijavsehputeshestvi68,272,272
https://www.prlib.ru/item/460807,Hronologicheskijreestruzakonenijopredmet37,184,184
https://www.prlib.ru/item/707713,IIITablitsahronologicheskajagosudarej39,23,23
https://www.prlib.ru/item/1560994,IliadaGomeraCh123,372,372
https://www.prlib.ru/item/1560999,IliadaGomeraCh21,386,386
https://www.prlib.ru/item/413561,ImperatorAleksandrvParizheipadenieNapol90,176,176
https://www.prlib.ru/item/413569,ImperatorVserossijskijiBonaparte46,68,68
https://www.prlib.ru/item/413602,ImperatritsaAleksandraFeodorovna54,225,225
https://www.prlib.ru/item/413611,ImperatritsaMarijaFedorovnavbogougodnyhe47,106,106
https://www.prlib.ru/item/1539337,IndijapodanglijskimvladychestvomT187,588,588
https://www.prlib.ru/item/1544767,IndijapodanglijskimvladychestvomT286,438,438
https://www.prlib.ru/item/714316,Instruktsijapolkovnichjapehotnagopolkuk39_,36,36
https://www.prlib.ru/item/714390,InstruktsijasmotriteljuSPeterburgskogo82,51,51
https://www.prlib.ru/item/1333266,Irodianovaistorijaorimskihgosudarjahbyv23,431,431
https://www.prlib.ru/item/416360,Issledovanieartillerijskogoiskusstvanamo15,352,352
https://www.prlib.ru/item/677944,Issledovanienachalanarodovslavjanskih19,90,90
https://www.prlib.ru/item/751847,Issledovanienachalugolovnogopravaizlozh56,158,158
https://www.prlib.ru/item/714793,IssledovanieodrevnejshejKievskojtserkvis2,91,91
https://www.prlib.ru/item/416389,IstinnodrevnjajaiistinnopravoslavnajaHri86,638,638
https://www.prlib.ru/item/417043,Istochnikidljaudelnogoperiodarusskojist43,90,90
