Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
,Карта древней Италии,http://elib.shpl.ru/ru/nodes/2643-karta-drevney-italii,1,,карта,,,,1,313186
,Карта древних береговых валов Каспийского моря,http://elib.shpl.ru/ru/nodes/82942-karta-drevnih-beregovyh-valov-kaspiyskogo-morya,1,,карта,,,,1,4949925
,Карта древних мест жительства финско-венгерских народов,http://elib.shpl.ru/ru/nodes/92241-karta-drevnih-mest-zhitelstva-finsko-vengerskih-narodov,1,,карта,,,,1,5468918
,Карта Европейских государств,http://elib.shpl.ru/ru/nodes/85520-karta-evropeyskih-gosudarstv,1,,карта,,,,1,5072314
,Карта европейских держав,http://elib.shpl.ru/ru/nodes/52023-karta-evropeyskih-derzhav,1,,карта,,,,1,3524911
,Карта европейского театра войны середины 19 века,http://elib.shpl.ru/ru/nodes/75761-karta-evropeyskogo-teatra-voyny-serediny-19-veka,1,,карта,,,,1,4623397
,Карта Европейской России,http://elib.shpl.ru/ru/nodes/52735-karta-evropeyskoy-rossii,1,,карта,,,,1,3571759
,Карта Европы,http://elib.shpl.ru/ru/nodes/51810-karta-evropy,1,,карта,,,,1,3509920
,Карта Европы и Азии с показанием границы Московского Царства в 1613 году и Российской Империи к 1913 году,http://elib.shpl.ru/ru/nodes/5183-karta-evropy-i-azii-s-pokazaniem-granitsy-moskovskogo-tsarstva-v-1613-godu-i-rossiyskoy-imperii-k-1913-godu,1,,карта,,,,1,657843
,"Карта Екатеринославского наместничества, Таврической и Новоприобретенной области",http://elib.shpl.ru/ru/nodes/59039-karta-ekaterinoslavskogo-namestnichestva-tavricheskoy-i-novopriobretennoy-oblasti,1,,карта,,,,1,3860404
,Карта Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/55763-karta-ekaterinoslavskoy-gubernii,1,,карта,,,,1,3733896
,Карта елисаветградской провинции,http://elib.shpl.ru/ru/nodes/80181-karta-elisavetgradskoy-provintsii,1,,карта,,,,1,4841314
,Карта Енисейской губернии,http://elib.shpl.ru/ru/nodes/10418-karta-eniseyskoy-gubernii,1,,карта,,,,1,1105535
,Карта естественного прироста населения Тифлисской губернии за пятилетие 1875-1880 гг.,http://elib.shpl.ru/ru/nodes/58398-karta-estestvennogo-prirosta-naseleniya-tiflisskoy-gubernii-za-pyatiletie-1875-1880-gg,1,,карта,,,,1,3850893
,"Карта естественных, ландшафтных районов Дагестанской ССР",http://elib.shpl.ru/ru/nodes/83830-karta-estestvennyh-landshaftnyh-rayonov-dagestanskoy-ssr,1,,карта,,,,1,5001809
,"Карта железных дорог Российской Империи. Губернии царства Польского. Азиатская часть России, Сибирь и Туркестан. Окрестности Москвы. Окрестности Санкт-Петербурга",http://elib.shpl.ru/ru/nodes/72275-karta-zheleznyh-dorog-rossiyskoy-imperii-gubernii-tsarstva-polskogo-aziatskaya-chast-rossii-sibir-i-turkestan-okrestnosti-moskvy-okrestnosti-sankt-peterburga,1,,карта,,,,1,4474340
,Карта железных заводов Средней полосы России во второй половине XVII века,http://elib.shpl.ru/ru/nodes/12515-karta-zheleznyh-zavodov-sredney-polosy-rossii-vo-vtoroy-polovine-xvii-veka,1,,карта,,,,1,1340647
,Карта железных и внутренних водных путей сообщения Европейской России. 1899 г.,http://elib.shpl.ru/ru/nodes/5312-karta-zheleznyh-i-vnutrennih-vodnyh-putey-soobscheniya-evropeyskoy-rossii-1899-g,1,,карта,,,,1,678505
,Карта Забайкальской области,http://elib.shpl.ru/ru/nodes/13110-karta-zabaykalskoy-oblasti,1,,карта,,,,1,1410224
,Карта Закавказья,http://elib.shpl.ru/ru/nodes/56741-karta-zakavkazya,1,,карта,,,,1,3795946
,Карта Западной Персии,http://elib.shpl.ru/ru/nodes/100137-karta-zapadnoy-persii,1,,карта,,,,1,5786947
,Карта Западной части Азиатской части России по состоянию 1807 года,http://elib.shpl.ru/ru/nodes/96051-karta-zapadnoy-chasti-aziatskoy-chasti-rossii-po-sostoyaniyu-1807-goda,1,,карта,,,,1,5633546
,Карта Западной части Горного района Киргизской ССР,http://elib.shpl.ru/ru/nodes/98172-karta-zapadnoy-chasti-gornogo-rayona-kirgizskoy-ssr,1,,карта,,,,1,5746571
,Карта западной части Эмъиногорского уезда,http://elib.shpl.ru/ru/nodes/51846-karta-zapadnoy-chasti-eminogorskogo-uezda,1,,карта,,,,1,3512758
,Карта западных губерний и областей Азиатской России,http://elib.shpl.ru/ru/nodes/52146-karta-zapadnyh-guberniy-i-oblastey-aziatskoy-rossii,1,,карта,,,,1,3541329
,Карта земли Войска Донского,http://elib.shpl.ru/ru/nodes/55741-karta-zemli-voyska-donskogo,1,,карта,,,,1,3733875
,Карта земли русской,http://elib.shpl.ru/ru/nodes/52000-karta-zemli-russkoy,1,,карта,,,,1,3524297
,Карта Зиновьевского округа,http://elib.shpl.ru/ru/nodes/72035-karta-zinovievskogo-okruga,1,,карта,,,,1,4457018
,Карта изменений в землепользовании помещичьих крестьян в 1861 г. сравнительно с периодом до реформы,http://elib.shpl.ru/ru/nodes/61299-karta-izmeneniy-v-zemlepolzovanii-pomeschichih-krestyan-v-1861-g-sravnitelno-s-periodom-do-reformy,1,,карта,,,,1,3945031
,Карта Иркутского наместничества с прилежащими островами и западным берегом Америки,http://elib.shpl.ru/ru/nodes/58917-karta-irkutskogo-namestnichestva-s-prilezhaschimi-ostrovami-i-zapadnym-beregom-ameriki,1,,карта,,,,1,3860329
,Карта к действиям 5 ноября,http://elib.shpl.ru/ru/nodes/77322-karta-k-deystviyam-5-noyabrya,1,,карта,,,,1,4704100
,"Карта к кампании 1813 г. ; План дела при Рейхенбахе ; К описанию действий в окрестностях Пирны, Кульма и Дрездена",http://elib.shpl.ru/ru/nodes/57469-karta-k-kampanii-1813-g-plan-dela-pri-reyhenbahe-k-opisaniyu-deystviy-v-okrestnostyah-pirny-kulma-i-drezdena,1,,карта,,,,1,3815361
,Карта к описанию Турецкой войны с 1806 до 1812 года генерал-лейтенанта Михайловского-Данилевского.,http://elib.shpl.ru/ru/nodes/9487-karta-k-opisaniyu-turetskoy-voyny-s-1806-do-1812-goda-general-leytenanta-mihaylovskogo-danilevskogo,1,,карта,,,,1,1012888
,Карта к очерку военных действий в средней Азии с 1839-1876,http://elib.shpl.ru/ru/nodes/75626-karta-k-ocherku-voennyh-deystviy-v-sredney-azii-s-1839-1876,1,,карта,,,,1,4609864
,"Карта к очерку Р. Маркова ""Голубец на Красной Поляне""",http://elib.shpl.ru/ru/nodes/59253-karta-k-ocherku-r-markova-golubets-na-krasnoy-polyane,1,,карта,,,,1,3882024
,Карта к переходу Аннибала через Альпы,http://elib.shpl.ru/ru/nodes/2645-karta-k-perehodu-annibala-cherez-alpy,1,,карта,,,,1,313188
,Карта к походам 1695 и 1696 гг.,http://elib.shpl.ru/ru/nodes/75704-karta-k-pohodam-1695-i-1696-gg,1,,карта,,,,1,4621285
,Карта к походу 1711 г.,http://elib.shpl.ru/ru/nodes/75714-karta-k-pohodu-1711-g,1,,карта,,,,1,4623302
,Карта к чтению о Ладожском озере,http://elib.shpl.ru/ru/nodes/95666-karta-k-chteniyu-o-ladozhskom-ozere,1,,карта,,,,1,5603134
,Карта Кавказа,http://elib.shpl.ru/ru/nodes/53646-karta-kavkaza,1,,карта,,,,1,3623459
,Карта Кавказских минеральных вод,http://elib.shpl.ru/ru/nodes/85487-karta-kavkazskih-mineralnyh-vod,1,,карта,,,,1,5070692
,Карта Кавказского края с показанием новой нагорной полосы Кубанской и Терской областей,http://elib.shpl.ru/ru/nodes/434-karta-kavkazskogo-kraya-s-pokazaniem-novoy-nagornoy-polosy-kubanskoy-i-terskoy-oblastey,1,,карта,,,,1,183538
,Карта Кавказского края с показанием племен,http://elib.shpl.ru/ru/nodes/75386-karta-kavkazskogo-kraya-s-pokazaniem-plemen,1,,карта,,,,1,4605113
,Карта Казанской губернии,http://elib.shpl.ru/ru/nodes/55765-karta-kazanskoy-gubernii,1,,карта,,,,1,3733897
,Карта Калужской губернии,http://elib.shpl.ru/ru/nodes/88747-karta-kaluzhskoy-gubernii,1,,карта,,,,1,5232995
,Карта Камышинского уезда Саратовской губернии,http://elib.shpl.ru/ru/nodes/53944-karta-kamyshinskogo-uezda-saratovskoy-gubernii,1,,карта,,,,1,3661372
,Карта Келецкой губернии,http://elib.shpl.ru/ru/nodes/93796-karta-keletskoy-gubernii,1,,карта,,,,1,5504266
,Карта Кемского уезда Архангельской губ.,http://elib.shpl.ru/ru/nodes/95635-karta-kemskogo-uezda-arhangelskoy-gub,1,,карта,,,,1,5602723
,"Карта Киевского, Черниговского и Харьковского наместничеств",http://elib.shpl.ru/ru/nodes/58913-karta-kievskogo-chernigovskogo-i-harkovskogo-namestnichestv,1,,карта,,,,1,3860325
,Карта Киевской земли и окрестности Киева,http://elib.shpl.ru/ru/nodes/85489-karta-kievskoy-zemli-i-okrestnosti-kieva,1,,карта,,,,1,5070693
,Карта Киргизскаго края,http://elib.shpl.ru/ru/nodes/176-karta-kirgizskago-kraya,1,,карта,,,,1,38580
,Карта Китая,http://elib.shpl.ru/ru/nodes/59209-karta-kitaya,1,,карта,,,,1,3876099
,Карта княжеств древней Руси до XIII века,http://elib.shpl.ru/ru/nodes/3726-karta-knyazhestv-drevney-rusi-do-xiii-veka,1,,карта,,,,1,468623
,Карта Княжества Черногорского,http://elib.shpl.ru/ru/nodes/98694-karta-knyazhestva-chernogorskogo,1,,карта,,,,1,5753091
,Карта колонизации средней Волги,http://elib.shpl.ru/ru/nodes/54007-karta-kolonizatsii-sredney-volgi,1,,карта,,,,1,3665501
,"Карта колоний, подведомственных попечительному комитету об иностранных поселенцах южного края России",http://elib.shpl.ru/ru/nodes/85496-karta-koloniy-podvedomstvennyh-popechitelnomu-komitetu-ob-inostrannyh-poselentsah-yuzhnogo-kraya-rossii,1,,карта,,,,1,5070696
,Карта Колхиды,http://elib.shpl.ru/ru/nodes/80122-karta-kolhidy,1,,карта,,,,1,4837496
,Карта Костромского и Вятского наместничеств,http://elib.shpl.ru/ru/nodes/58870-karta-kostromskogo-i-vyatskogo-namestnichestv,1,,карта,,,,1,3860310
,Карта Костромской губернии,http://elib.shpl.ru/ru/nodes/55768-karta-kostromskoy-gubernii,1,,карта,,,,1,3733898
,Карта Костромской губернии. Экономические районы,http://elib.shpl.ru/ru/nodes/60424-karta-kostromskoy-gubernii-ekonomicheskie-rayony,1,,карта,,,,1,3914156
,Карта Крыма,http://elib.shpl.ru/ru/nodes/75618-karta-kryma,1,,карта,,,,1,4609857
,Карта Крыма,http://elib.shpl.ru/ru/nodes/93195-karta-kryma,1,,карта,,,,1,5501753
,Карта Кузнецкого уезда Саратовской губернии,http://elib.shpl.ru/ru/nodes/53946-karta-kuznetskogo-uezda-saratovskoy-gubernii,1,,карта,,,,1,3661373
,Карта курсирования Добровольного флота Петербурга,http://elib.shpl.ru/ru/nodes/63312-karta-kursirovaniya-dobrovolnogo-flota-peterburga,1,,карта,,,,1,4023890
,"Карта Курского, Орловского и Новгород-Северского наместничеств",http://elib.shpl.ru/ru/nodes/58874-karta-kurskogo-orlovskogo-i-novgorod-severskogo-namestnichestv,1,,карта,,,,1,3860314
,Карта Курской губернии,http://elib.shpl.ru/ru/nodes/55770-karta-kurskoy-gubernii,1,,карта,,,,1,3733899
,Карта Малой Азии,http://elib.shpl.ru/ru/nodes/85760-karta-maloy-azii,1,,карта,,,,1,5076138
,Карта Малороссии,http://elib.shpl.ru/ru/nodes/173-karta-malorossii,1,,карта,,,,1,38576
,"Карта Малороссийская, разделенная на наместничества Киевское, Черниговское и Новгород-Северское",http://elib.shpl.ru/ru/nodes/94803-karta-malorossiyskaya-razdelennaya-na-namestnichestva-kievskoe-chernigovskoe-i-novgorod-severskoe,1,,карта,,,,1,5564389
,"Карта Манчжурии, Амурской области и Уссурийского края",http://elib.shpl.ru/ru/nodes/83915-karta-manchzhurii-amurskoy-oblasti-i-ussuriyskogo-kraya,1,,карта,,,,2,"5003462, 5003464"
,"Карта Манчжурии, Амурской области и Уссурийского края",http://elib.shpl.ru/ru/nodes/83922-karta-manchzhurii-amurskoy-oblasti-i-ussuriyskogo-kraya,1,,карта,,,,1,5003534
,"Карта Манчжурии, Кореи и Японии",http://elib.shpl.ru/ru/nodes/89011-karta-manchzhurii-korei-i-yaponii,1,,карта,,,,1,5249003
,Карта Манчжурского театра военных действий,http://elib.shpl.ru/ru/nodes/59172-karta-manchzhurskogo-teatra-voennyh-deystviy,1,,карта,,,,1,3869640
,Карта местностей России с обозначением трактов на конец XVII-XVIII веков,http://elib.shpl.ru/ru/nodes/93843-karta-mestnostey-rossii-s-oboznacheniem-traktov-na-konets-xvii-xviii-vekov,1,,карта,,,,1,5505252
,"Карта местности : Гродно, Рига, Могилев, Чернигов, Ковель",http://elib.shpl.ru/ru/nodes/75987-karta-mestnosti-grodno-riga-mogilev-chernigov-kovel,1,,карта,,,,1,4640480
,"Карта Минской, Изяславской и Брацлавской губерний",http://elib.shpl.ru/ru/nodes/59040-karta-minskoy-izyaslavskoy-i-bratslavskoy-guberniy,1,,карта,,,,1,3860405
,Карта мира,http://elib.shpl.ru/ru/nodes/12485-karta-mira,1,,карта,,,,1,1339002
,"Карта мира : Западное полушарие, Восточное полушарие",http://elib.shpl.ru/ru/nodes/51809-karta-mira-zapadnoe-polusharie-vostochnoe-polusharie,1,,карта,,,,1,3509919
,Карта Могилевской губернии,http://elib.shpl.ru/ru/nodes/77345-karta-mogilevskoy-gubernii,1,,карта,,,,1,4704118
,Карта Монголии,http://elib.shpl.ru/ru/nodes/99584-karta-mongolii,1,,карта,,,,1,5765038
,Карта морских течений у северных берегов Европейской России.,http://elib.shpl.ru/ru/nodes/94580-karta-morskih-techeniy-u-severnyh-beregov-evropeyskoy-rossii,1,,карта,,,,1,5551846
,Карта морского берега в окрестностях Одессы,http://elib.shpl.ru/ru/nodes/10431-karta-morskogo-berega-v-okrestnostyah-odessy,1,,карта,,,,1,1105541
,Карта морского театра войны. Китайское море,http://elib.shpl.ru/ru/nodes/74875-karta-morskogo-teatra-voyny-kitayskoe-more,1,,карта,,,,1,4574166
,Карта Московии,http://elib.shpl.ru/ru/nodes/52016-karta-moskovii,1,,карта,,,,1,3524908
,Карта Московии и Тартарии,http://elib.shpl.ru/ru/nodes/55478-karta-moskovii-i-tartarii,1,,карта,,,,1,3733642
,Карта Московской губернии,http://elib.shpl.ru/ru/nodes/88750-karta-moskovskoy-gubernii,1,,карта,,,,1,5233243
,Карта Московской губернии с обозначением волостей 1897 г.,http://elib.shpl.ru/ru/nodes/3870-karta-moskovskoy-gubernii-s-oboznacheniem-volostey-1897-g,1,,карта,,,,1,476298
,"Карта Московской губернии, Тверского, Владимирского и Ярославского наместничества",http://elib.shpl.ru/ru/nodes/58804-karta-moskovskoy-gubernii-tverskogo-vladimirskogo-i-yaroslavskogo-namestnichestva,1,,карта,,,,1,3859175
,Карта Московской промышленной области и Верхняго Поволжья,http://elib.shpl.ru/ru/nodes/171-karta-moskovskoy-promyshlennoy-oblasti-i-verhnyago-povolzhya,1,,карта,,,,1,38574
,Карта Московской промышленности XVI-XVII в.,http://elib.shpl.ru/ru/nodes/55528-karta-moskovskoy-promyshlennosti-xvi-xvii-v,1,,карта,,,,1,3733689
,Карта Нагорного Дагестана и Лезгинской кордонной линии,http://elib.shpl.ru/ru/nodes/84909-karta-nagornogo-dagestana-i-lezginskoy-kordonnoy-linii,1,,карта,,,,1,5047622
,"Карта народонаселения Виленской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6119-karta-narodonaseleniya-vilenskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744262
,"Карта народонаселения Витебской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6117-karta-narodonaseleniya-vitebskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744260
,"Карта народонаселения Гродненской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6120-karta-narodonaseleniya-grodnenskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744263
,"Карта народонаселения Западно-Русского края, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6115-karta-narodonaseleniya-zapadno-russkogo-kraya-po-ispovedaniyam-1864-g,1,,карта,,,,1,744258
,"Карта народонаселения Киевской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6122-karta-narodonaseleniya-kievskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744265
,"Карта народонаселения Ковенской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6121-karta-narodonaseleniya-kovenskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744264
,"Карта народонаселения Минской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6118-karta-narodonaseleniya-minskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744261
,"Карта народонаселения Могилевской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6116-karta-narodonaseleniya-mogilevskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744259
,"Карта народонаселения Подольской губернии, по исповеданиям. 1864 г.",http://elib.shpl.ru/ru/nodes/6123-karta-narodonaseleniya-podolskoy-gubernii-po-ispovedaniyam-1864-g,1,,карта,,,,1,744266
,Карта населенности Европейской России по уездам,http://elib.shpl.ru/ru/nodes/10465-karta-naselennosti-evropeyskoy-rossii-po-uezdam,1,,карта,,,,1,1108100
,Карта населенности Европейской России по уездам и городам,http://elib.shpl.ru/ru/nodes/72251-karta-naselennosti-evropeyskoy-rossii-po-uezdam-i-gorodam,1,,карта,,,,1,4470512
,Карта наступления белогвардейцев на Петроград. 1919,http://elib.shpl.ru/ru/nodes/5287-karta-nastupleniya-belogvardeytsev-na-petrograd-1919,1,,карта,,,,1,671329
,Карта наступления советских войск (Петроград. 1919),http://elib.shpl.ru/ru/nodes/5288-karta-nastupleniya-sovetskih-voysk-petrograd-1919,1,,карта,,,,1,671330
,"Карта нефтеносного района Дагестана, 1920-е",http://elib.shpl.ru/ru/nodes/94945-karta-neftenosnogo-rayona-dagestana-1920-e,1,,карта,,,,1,5582480
,Карта нефтяного района Грозненского округа Терской области,http://elib.shpl.ru/ru/nodes/57479-karta-neftyanogo-rayona-groznenskogo-okruga-terskoy-oblasti,1,,карта,,,,1,3815951
,"Карта Нижегородского, Казанского, Пензенского и Симбирского наместничеств",http://elib.shpl.ru/ru/nodes/58915-karta-nizhegorodskogo-kazanskogo-penzenskogo-i-simbirskogo-namestnichestv,1,,карта,,,,1,3860327
,Карта Нижегородской губернии,http://elib.shpl.ru/ru/nodes/55773-karta-nizhegorodskoy-gubernii,1,,карта,,,,1,3733900
,Карта Николаевского округа,http://elib.shpl.ru/ru/nodes/72034-karta-nikolaevskogo-okruga,1,,карта,,,,1,4457017
,Карта Новой Земли и прилежащего матерого берега,http://elib.shpl.ru/ru/nodes/95628-karta-novoy-zemli-i-prilezhaschego-materogo-berega,1,,карта,,,,1,5602720
,Карта Новороссии,http://elib.shpl.ru/ru/nodes/175-karta-novorossii,1,,карта,,,,2,"38578, 38579"
,Карта области Войска Донского,http://elib.shpl.ru/ru/nodes/59917-karta-oblasti-voyska-donskogo,1,,карта,,,,1,3904056
,Карта области Войска Донского,http://elib.shpl.ru/ru/nodes/59962-karta-oblasti-voyska-donskogo,1,,карта,,,,1,3906168
,Карта обороны Лондона в 1917-1918 гг.,http://elib.shpl.ru/ru/nodes/93845-karta-oborony-londona-v-1917-1918-gg,1,,карта,,,,1,5505253
,Карта обособленных земель на территории Руси в XII в.,http://elib.shpl.ru/ru/nodes/85768-karta-obosoblennyh-zemel-na-territorii-rusi-v-xii-v,1,,карта,,,,1,5076142
,Карта Одесского округа,http://elib.shpl.ru/ru/nodes/72033-karta-odesskogo-okruga,1,,карта,,,,1,4457016
,Карта Озерной области,http://elib.shpl.ru/ru/nodes/172-karta-ozernoy-oblasti,1,,карта,,,,1,38575
,Карта окрестностей города Севастополя (Крымская война),http://elib.shpl.ru/ru/nodes/5414-karta-okrestnostey-goroda-sevastopolya-krymskaya-voyna,1,,карта,,,,1,681703
,Карта окрестностей Екатеринбурга,http://elib.shpl.ru/ru/nodes/55448-karta-okrestnostey-ekaterinburga,1,,карта,,,,1,3733614
,Карта окрестностей Кенигсварты,http://elib.shpl.ru/ru/nodes/12533-karta-okrestnostey-kenigsvarty,1,,карта,,,,1,1342769
,Карта окрестностей Парижа,http://elib.shpl.ru/ru/nodes/75216-karta-okrestnostey-parizha,1,,карта,,,,1,4600670
,Карта окрестностей Санкт-Петербурга,http://elib.shpl.ru/ru/nodes/89475-karta-okrestnostey-sankt-peterburga,1,,карта,,,,1,5260518
,Карта Олонецкой губернии,http://elib.shpl.ru/ru/nodes/55775-karta-olonetskoy-gubernii,1,,карта,,,,1,3733901
,Карта Оренбургской губернии,http://elib.shpl.ru/ru/nodes/55777-karta-orenburgskoy-gubernii,1,,карта,,,,1,3733902
,Карта Орловского уезда Вятской губернии,http://elib.shpl.ru/ru/nodes/81170-karta-orlovskogo-uezda-vyatskoy-gubernii,1,,карта,,,,1,4886102
,Карта Орловского уезда Вятской губернии по волостям,http://elib.shpl.ru/ru/nodes/81171-karta-orlovskogo-uezda-vyatskoy-gubernii-po-volostyam,1,,карта,,,,1,4886103
,Карта Орловской губернии,http://elib.shpl.ru/ru/nodes/55779-karta-orlovskoy-gubernii,1,,карта,,,,1,3733903
,Карта Отечественной войны 1812 г. План сражения при Бородине,http://elib.shpl.ru/ru/nodes/59829-karta-otechestvennoy-voyny-1812-g-plan-srazheniya-pri-borodine,1,,карта,,,,1,3897170
,Карта отступления 4-й Донской казачьей дивизии и отряда генерала Поспелова,http://elib.shpl.ru/ru/nodes/83539-karta-otstupleniya-4-y-donskoy-kazachiey-divizii-i-otryada-generala-pospelova,1,,карта,,,,1,4978266
,Карта Пелопоннеса,http://elib.shpl.ru/ru/nodes/2815-karta-peloponnesa,1,,карта,,,,2,"325903, 325904"
,Карта Пензенской губернии,http://elib.shpl.ru/ru/nodes/55781-karta-penzenskoy-gubernii,1,,карта,,,,1,3733904
,Карта Первомайского округа,http://elib.shpl.ru/ru/nodes/72036-karta-pervomayskogo-okruga,1,,карта,,,,1,4457019
,Карта переправы русских войск через р. Дунай 11 марта 1854 г.,http://elib.shpl.ru/ru/nodes/75611-karta-perepravy-russkih-voysk-cherez-r-dunay-11-marta-1854-g,1,,карта,,,,1,4609850
,Карта Пермского и Уфимского наместничеств,http://elib.shpl.ru/ru/nodes/58872-karta-permskogo-i-ufimskogo-namestnichestv,1,,карта,,,,1,3860312
,Карта Пермской губернии,http://elib.shpl.ru/ru/nodes/55783-karta-permskoy-gubernii,1,,карта,,,,1,3733905
,"Карта племен, населявших территорию Руси",http://elib.shpl.ru/ru/nodes/85767-karta-plemen-naselyavshih-territoriyu-rusi,1,,карта,,,,1,5076141
,Карта плотности населения,http://elib.shpl.ru/ru/nodes/63373-karta-plotnosti-naseleniya,1,,карта,,,,1,4025191
,Карта пограничной полосы и Саянской горной системы,http://elib.shpl.ru/ru/nodes/98705-karta-pogranichnoy-polosy-i-sayanskoy-gornoy-sistemy,1,,карта,,,,1,5754649
,Карта Полоцкого повета 2-й половины XVI века,http://elib.shpl.ru/ru/nodes/77349-karta-polotskogo-poveta-2-y-poloviny-xvi-veka,1,,карта,,,,1,4704120
,Карта Полтавской губернии.,http://elib.shpl.ru/ru/nodes/10283-karta-poltavskoy-gubernii,1,,карта,,,,1,1043730
,Карта полушарий из атласа Blaeu 1648 г.,http://elib.shpl.ru/ru/nodes/53658-karta-polushariy-iz-atlasa-blaeu-1648-g,1,,карта,,,,1,3623468
,Карта Польши,http://elib.shpl.ru/ru/nodes/54208-karta-polshi,1,,карта,,,,1,3684208
,Карта Польши,http://elib.shpl.ru/ru/nodes/89832-karta-polshi,1,,карта,,,,1,5290514
,Карта Польши в границах 1772 г.,http://elib.shpl.ru/ru/nodes/97435-karta-polshi-v-granitsah-1772-g,1,,карта,,,,1,5683104
,Карта похода 10 Пехотного Новоингерманландского полка по Европейской Турции в кампанию 1877-1878 г.,http://elib.shpl.ru/ru/nodes/63129-karta-pohoda-10-pehotnogo-novoingermanlandskogo-polka-po-evropeyskoy-turtsii-v-kampaniyu-1877-1878-g,1,,карта,,,,1,4010450
,Карта похода Кира младшего,http://elib.shpl.ru/ru/nodes/2816-karta-pohoda-kira-mladshego,1,,карта,,,,2,"325905, 325906"
,Карта походов Нижегородского драгунского полка,http://elib.shpl.ru/ru/nodes/83947-karta-pohodov-nizhegorodskogo-dragunskogo-polka,1,,карта,,,,1,5003891
,Карта почв и лесов Могилевской губернии,http://elib.shpl.ru/ru/nodes/77347-karta-pochv-i-lesov-mogilevskoy-gubernii,1,,карта,,,,1,4704119
,Карта почвенных районов части Дагестанской ССР,http://elib.shpl.ru/ru/nodes/83832-karta-pochvennyh-rayonov-chasti-dagestanskoy-ssr,1,,карта,,,,1,5001811
,Карта промышленной Сибири XVI-XVII в.,http://elib.shpl.ru/ru/nodes/55526-karta-promyshlennoy-sibiri-xvi-xvii-v,1,,карта,,,,1,3733687
,Карта промышленности русского Севера XV-XVII в.,http://elib.shpl.ru/ru/nodes/55527-karta-promyshlennosti-russkogo-severa-xv-xvii-v,1,,карта,,,,1,3733688
,Карта пространства между Карсом и Александрополем,http://elib.shpl.ru/ru/nodes/84936-karta-prostranstva-mezhdu-karsom-i-aleksandropolem,1,,карта,,,,1,5047642
,Карта Псковской губернии,http://elib.shpl.ru/ru/nodes/56500-karta-pskovskoy-gubernii,1,,карта,,,,1,3773911
,Карта Пугачевщины,http://elib.shpl.ru/ru/nodes/5437-karta-pugachevschiny,1,,карта,,,,1,682550
,Карта путей Беринга и Чирикова из Камчатуки в Америку и обратно в 1741 году,http://elib.shpl.ru/ru/nodes/53895-karta-putey-beringa-i-chirikova-iz-kamchatuki-v-ameriku-i-obratno-v-1741-godu,1,,карта,,,,1,3656032
,Карта путей в степи в XI-XIV столетии,http://elib.shpl.ru/ru/nodes/89231-karta-putey-v-stepi-v-xi-xiv-stoletii,1,,карта,,,,1,5252451
,Карта путешествий Н. М. Пржевальского в Восточной и Центральной Азии,http://elib.shpl.ru/ru/nodes/89234-karta-puteshestviy-n-m-przhevalskogo-v-vostochnoy-i-tsentralnoy-azii,1,,карта,,,,1,5252453
,Карта пути Гильденштедта по Слободско-Украинской губернии,http://elib.shpl.ru/ru/nodes/84957-karta-puti-gildenshtedta-po-slobodsko-ukrainskoy-gubernii,1,,карта,,,,1,5048355
,Карта пути от Варяг в Греки,http://elib.shpl.ru/ru/nodes/3722-karta-puti-ot-varyag-v-greki,1,,карта,,,,1,468291
,Карта пути от Югорского шара  до Дудинского.,http://elib.shpl.ru/ru/nodes/100073-karta-puti-ot-yugorskogo-shara-do-dudinskogo,1,,карта,,,,1,5785077
,"Карта пятин Новгородских в XVI веке с показанием в них городов и погостов, составленная К. Неволиным. Санкт-Петербург. 1853 г.",http://elib.shpl.ru/ru/nodes/5071-karta-pyatin-novgorodskih-v-xvi-veke-s-pokazaniem-v-nih-gorodov-i-pogostov-sostavlennaya-k-nevolinym-sankt-peterburg-1853-g,1,,карта,,,,1,1013720
,Карта раздела азиатской Турции,http://elib.shpl.ru/ru/nodes/10473-karta-razdela-aziatskoy-turtsii,1,,карта,,,,1,1108105
,Карта раздела азиатской Турции,http://elib.shpl.ru/ru/nodes/84951-karta-razdela-aziatskoy-turtsii,1,,карта,,,,1,5048351
