year,title,link
1871,"Журналы Сапожковского уездного земского собрания .... Шестого очередного созыва [1870 года]. Шестого очередного созыва [1870 года] и сметы уездных земских потребностей, с раскладкою земских повинностей, по Сапожковскому уезду на 1871 год",https://www.prlib.ru/item/708988
1871,"Вестник Европы. Г. 6 1871, т. 4, [кн. 7, июль]",https://www.prlib.ru/item/323724
1871,Религиозный быт русских,https://www.prlib.ru/item/441980
1871,Памятная книжка Якутской области .... на 1871 год,https://www.prlib.ru/item/436300
1871,"Иркутские губернские ведомости. 1875, № 14",https://www.prlib.ru/item/413932
1871,Журналы Бузулукского уездного земского собрания .... ... Шестой очередной сессии,https://www.prlib.ru/item/409238
1871,"Списки населенных мест Российской империи, составленные и издаваемые Центральным статистическим комитетом Министерства внутренних дел. 28. Оренбургская губерния",https://www.prlib.ru/item/451070
1871,Киевская митрополия и Московское правительство во время соединения Малороссии с Великою Россией. [Ст. 1],https://www.prlib.ru/item/1095577
1871,Путешествие в Бухару Русской миссии в 1870 году,https://www.prlib.ru/item/361397
1871,"Иркутские губернские ведомости. 1871, № 4",https://www.prlib.ru/item/416253
1871,"Полицейское право. Часть 1. Благоустройство. Выпуск 1, 2 и 3 курса, читанного в Университете св. Владимира профессором Н. Х. Бунге. Киев. 1869 г. I. Исторический очерк экономических учений. II. Обозрение различных отраслей хозяйственной деятельности. Окончание 1 тома",https://www.prlib.ru/item/437898
1871,Краткия сведения о русских морских сражениях за два столетия с 1656 по 1856 год,https://www.prlib.ru/item/425587
1871,Главнейшие моменты в истории повального обыска,https://www.prlib.ru/item/406378
1871,"Вологодские губернские ведомости. 1871, № 39 [18 сент.]",https://www.prlib.ru/item/326607
1871,"Домовая летопись, писанная капитаном Иваном Андреевым в 1789 году",https://www.prlib.ru/item/408008
1871,"Вологодские губернские ведомости. 1871, № 48 [20 нояб.]",https://www.prlib.ru/item/326617
1871,Журналы Тетюшского уездного земского собрания .... седьмого очередного... 25 сентября 1871 года,https://www.prlib.ru/item/410217
1871,Памятники новой русской истории. Т. 1,https://www.prlib.ru/item/436349
1871,"Вологодские губернские ведомости. 1871, № 25 [12 июня]",https://www.prlib.ru/item/326592
1871,Памятники дипломатических сношений древней России с державами иностранными. [Т. 10. Памятники дипломатических сношений с папским двором и с Италианскими государствами,https://www.prlib.ru/item/356342
1871,"Иркутские губернские ведомости. 1871, № 20",https://www.prlib.ru/item/416177
1871,Журналы заседаний ... Белгородского уездного земского собрания .... очередного ... с 28-го сентября по 8-е октября 1870 года,https://www.prlib.ru/item/678334
1871,"Список книг церковной печати, хранящихся в Библиотеке Святейшего правительствующего Синода",https://www.prlib.ru/item/687358
1871,Западно-русская церковная уния в ее богослужении и обрядах,https://www.prlib.ru/item/411856
1871,Журналы Рыбинского уездного земского собрания .... очередного и экстренного заседаний... 1870 и 1871 гг.,https://www.prlib.ru/item/409895
1871,"Иркутские губернские ведомости. 1875, № 21",https://www.prlib.ru/item/413940
1871,"Иркутские губернские ведомости. 1875, № 89",https://www.prlib.ru/item/414012
1871,Смета доходов и расходов Департамента общих дел Министерства государственных имуществ .... на 1872 год,https://www.prlib.ru/item/446115
1871,Журналы Новоузенского уездного земского собрания... и доклады Новоузенской земской управы.... сессии 1870 года. сессии 1870 года и доклады с отчетом... с 1 мая 1869 по 1 мая 1870 года,https://www.prlib.ru/item/677680
1871,"Иркутские губернские ведомости. 1871, № 23",https://www.prlib.ru/item/416192
1871,Правила для устройства православных церквей в 9-ти губерниях Западного края,https://www.prlib.ru/item/438774
1871,Журналы ... Тульского губернского земского собрания .... ... VII очередного ... бывшего в ноябре месяце 1871 года,https://www.prlib.ru/item/408962
1871,"Иркутские губернские ведомости. 1871, № 11",https://www.prlib.ru/item/416137
1871,"Журналы ... Грайворонского уездного земского собрания .... [очередного], с 21 по 26 сентября 1870 года",https://www.prlib.ru/item/409402
1871,"Вологодские губернские ведомости. 1871, № 50 [4 дек.]",https://www.prlib.ru/item/326620
1871,"Вологодские губернские ведомости. 1871, № 32 [31 июля]",https://www.prlib.ru/item/326600
1871,Журналы ... Тульского уездного земского собрания. экстра-ординарного ... 15 января 1871 года,https://www.prlib.ru/item/409033
1871,"Вологодские губернские ведомости. 1871, № 9 [20 февр.]",https://www.prlib.ru/item/326628
1871,"По поводу сочинений профессора А. Романович-Славатинского ""Дворянство в России""",https://www.prlib.ru/item/437621
1871,"Вологодские губернские ведомости. 1871, № 17 [17 апр.]",https://www.prlib.ru/item/326583
1871,"Слово при освящении храма Пресвятой Троицы, более известного под именем великомученицы Параскевы-Пятницы, что на Пятницкой, обновленного тщанием коммерции советника Петра Ионовича Губонина",https://www.prlib.ru/item/711624
1871,"Иркутские губернские ведомости. 1871, № 27",https://www.prlib.ru/item/416206
1871,Нижегородское губернское земское собрание .... VI очередное ... с 7 по 16 декабря 1870 года,https://www.prlib.ru/item/429018
1871,"Вологодские губернские ведомости. 1871, № 1 [2 янв.]",https://www.prlib.ru/item/326575
1871,Журналы Мышкинского уездного земского собрания .... очередного... 1870 года,https://www.prlib.ru/item/409671
1871,Обзор заграничных плаваний судов русского военного флота с 1850 по 1868 год. Т. 2,https://www.prlib.ru/item/1287994
1871,"Иркутские губернские ведомости. 1871, № 25",https://www.prlib.ru/item/416198
1871,"Правительственный вестник. 1871, № 2 (2 (14) января)",https://www.prlib.ru/item/836717
1871,Журналы и постановления Перекопского ... уездного земского собрания .... двух чрезвычайных ... 1 и 2 апреля и 28 июня 1870 года,https://www.prlib.ru/item/409447
1871,Полное собрание законов Российской империи. Т. 42. Отделение 2-е. 1867. От № 44895-45355,https://www.prlib.ru/item/358504
1871,"Вологодские губернские ведомости. 1871, № 4 [16 янв.]",https://www.prlib.ru/item/326608
1871,Сомнительные душевные состояния перед судом,https://www.prlib.ru/item/450886
1871,Летопись занятий Археографической комиссии. Вып. 5. За четыре года,https://www.prlib.ru/item/694542
1871,Ежегодник русской армии за …. Ч. 2,https://www.prlib.ru/item/408232
